t;x;rho;u;e;p
0;0.0418;0.999951;5.79876e-05;2.49983;0.999931
0;0.0419;0.999949;6.08292e-05;2.49982;0.999928
0;0.042;0.999946;6.37961e-05;2.49981;0.999925
0;0.0421;0.999943;6.6893e-05;2.4998;0.999921
0;0.0422;0.999941;7.01248e-05;2.49979;0.999917
0;0.0423;0.999938;7.34966e-05;2.49978;0.999913
0;0.0424;0.999935;7.70137e-05;2.49977;0.999909
0;0.0425;0.999932;8.06813e-05;2.49976;0.999905
0;0.0426;0.999929;8.45051e-05;2.49975;0.9999
0;0.0427;0.999925;8.84908e-05;2.49974;0.999895
0;0.0428;0.999922;9.26442e-05;2.49973;0.99989
0;0.0429;0.999918;9.69713e-05;2.49971;0.999885
0;0.043;0.999914;0.000101478;2.4997;0.99988
0;0.0431;0.99991;0.000106172;2.49969;0.999874
0;0.0432;0.999906;0.000111058;2.49967;0.999869
0;0.0433;0.999902;0.000116143;2.49966;0.999863
0;0.0434;0.999897;0.000121435;2.49964;0.999856
0;0.0435;0.999893;0.000126941;2.49962;0.99985
0;0.0436;0.999888;0.000132667;2.49961;0.999843
0;0.0437;0.999883;0.000138622;2.49959;0.999836
0;0.0438;0.999878;0.000144812;2.49957;0.999829
0;0.0439;0.999872;0.000151246;2.49955;0.999821
0;0.044;0.999867;0.000157931;2.49953;0.999813
0;0.0441;0.999861;0.000164876;2.49951;0.999805
0;0.0442;0.999855;0.000172089;2.49949;0.999796
0;0.0443;0.999848;0.000179579;2.49947;0.999788
0;0.0444;0.999842;0.000187355;2.49945;0.999778
0;0.0445;0.999835;0.000195425;2.49942;0.999769
0;0.0446;0.999828;0.000203798;2.4994;0.999759
0;0.0447;0.99982;0.000212485;2.49937;0.999749
0;0.0448;0.999813;0.000221494;2.49934;0.999738
0;0.0449;0.999805;0.000230835;2.49932;0.999727
0;0.045;0.999797;0.000240518;2.49929;0.999715
0;0.0451;0.999788;0.000250554;2.49926;0.999704
0;0.0452;0.999779;0.000260953;2.49923;0.999691
0;0.0453;0.99977;0.000271725;2.4992;0.999679
0;0.0454;0.999761;0.000282881;2.49916;0.999665
0;0.0455;0.999751;0.000294433;2.49913;0.999652
0;0.0456;0.999741;0.00030639;2.49909;0.999638
0;0.0457;0.999731;0.000318765;2.49906;0.999623
0;0.0458;0.99972;0.00033157;2.49902;0.999608
0;0.0459;0.999709;0.000344815;2.49898;0.999592
0;0.046;0.999697;0.000358514;2.49894;0.999576
0;0.0461;0.999685;0.000372677;2.4989;0.999559
0;0.0462;0.999673;0.000387318;2.49885;0.999542
0;0.0463;0.99966;0.000402449;2.49881;0.999524
0;0.0464;0.999647;0.000418083;2.49876;0.999505
0;0.0465;0.999633;0.000434233;2.49872;0.999486
0;0.0466;0.999619;0.000450911;2.49867;0.999467
0;0.0467;0.999604;0.000468132;2.49862;0.999446
0;0.0468;0.999589;0.000485908;2.49856;0.999425
0;0.0469;0.999574;0.000504254;2.49851;0.999404
0;0.047;0.999558;0.000523183;2.49845;0.999381
0;0.0471;0.999541;0.000542709;2.4984;0.999358
0;0.0472;0.999524;0.000562846;2.49834;0.999334
0;0.0473;0.999507;0.000583609;2.49827;0.99931
0;0.0474;0.999489;0.000605012;2.49821;0.999284
0;0.0475;0.99947;0.000627071;2.49815;0.999258
0;0.0476;0.999451;0.000649799;2.49808;0.999231
0;0.0477;0.999431;0.000673211;2.49801;0.999204
0;0.0478;0.999411;0.000697324;2.49794;0.999175
0;0.0479;0.99939;0.000722151;2.49786;0.999146
0;0.048;0.999368;0.000747709;2.49779;0.999116
0;0.0481;0.999346;0.000774013;2.49771;0.999085
0;0.0482;0.999323;0.000801079;2.49763;0.999053
0;0.0483;0.9993;0.000828921;2.49755;0.99902
0;0.0484;0.999275;0.000857557;2.49746;0.998986
0;0.0485;0.999251;0.000887002;2.49738;0.998951
0;0.0486;0.999225;0.000917273;2.49729;0.998915
0;0.0487;0.999199;0.000948384;2.4972;0.998878
0;0.0488;0.999172;0.000980353;2.4971;0.998841
0;0.0489;0.999144;0.0010132;2.497;0.998802
0;0.049;0.999115;0.00104693;2.49691;0.998762
0;0.0491;0.999086;0.00108157;2.4968;0.998721
0;0.0492;0.999056;0.00111713;2.4967;0.998679
0;0.0493;0.999025;0.00115364;2.49659;0.998636
0;0.0494;0.998994;0.00119109;2.49648;0.998592
0;0.0495;0.998961;0.00122953;2.49637;0.998546
0;0.0496;0.998928;0.00126895;2.49625;0.9985
0;0.0497;0.998894;0.00130938;2.49613;0.998452
0;0.0498;0.998859;0.00135083;2.49601;0.998403
0;0.0499;0.998823;0.00139332;2.49588;0.998353
0;0.05;0.998786;0.00143686;2.49575;0.998301
0;0.0501;0.998749;0.00148148;2.49562;0.998248
0;0.0502;0.99871;0.00152719;2.49549;0.998194
0;0.0503;0.99867;0.00157401;2.49535;0.998139
0;0.0504;0.99863;0.00162195;2.49521;0.998082
0;0.0505;0.998588;0.00167102;2.49506;0.998024
0;0.0506;0.998546;0.00172126;2.49491;0.997965
0;0.0507;0.998503;0.00177266;2.49476;0.997904
0;0.0508;0.998458;0.00182526;2.49461;0.997842
0;0.0509;0.998413;0.00187905;2.49445;0.997779
0;0.051;0.998366;0.00193407;2.49429;0.997714
0;0.0511;0.998319;0.00199033;2.49412;0.997647
0;0.0512;0.99827;0.00204784;2.49395;0.997579
0;0.0513;0.998221;0.00210661;2.49378;0.99751
0;0.0514;0.99817;0.00216668;2.4936;0.997439
0;0.0515;0.998118;0.00222804;2.49342;0.997367
0;0.0516;0.998065;0.00229071;2.49323;0.997293
0;0.0517;0.998011;0.00235472;2.49305;0.997217
0;0.0518;0.997956;0.00242007;2.49285;0.99714
0;0.0519;0.9979;0.00248679;2.49266;0.997061
0;0.052;0.997843;0.00255488;2.49246;0.996981
0;0.0521;0.997784;0.00262435;2.49225;0.996899
0;0.0522;0.997724;0.00269524;2.49204;0.996815
0;0.0523;0.997663;0.00276754;2.49183;0.99673
0;0.0524;0.997601;0.00284128;2.49161;0.996643
0;0.0525;0.997537;0.00291646;2.49139;0.996554
0;0.0526;0.997473;0.0029931;2.49116;0.996464
0;0.0527;0.997407;0.00307122;2.49093;0.996372
0;0.0528;0.99734;0.00315082;2.4907;0.996278
0;0.0529;0.997271;0.00323192;2.49046;0.996182
0;0.053;0.997202;0.00331454;2.49022;0.996085
0;0.0531;0.997131;0.00339868;2.48997;0.995986
0;0.0532;0.997059;0.00348435;2.48972;0.995885
0;0.0533;0.996985;0.00357158;2.48946;0.995782
0;0.0534;0.99691;0.00366037;2.4892;0.995677
0;0.0535;0.996834;0.00375073;2.48893;0.99557
0;0.0536;0.996756;0.00384267;2.48866;0.995462
0;0.0537;0.996678;0.00393621;2.48839;0.995352
0;0.0538;0.996597;0.00403135;2.48811;0.99524
0;0.0539;0.996516;0.00412811;2.48782;0.995126
0;0.054;0.996433;0.00422649;2.48753;0.99501
0;0.0541;0.996349;0.0043265;2.48724;0.994892
0;0.0542;0.996263;0.00442817;2.48694;0.994772
0;0.0543;0.996176;0.00453148;2.48664;0.994651
0;0.0544;0.996087;0.00463646;2.48633;0.994527
0;0.0545;0.995998;0.0047431;2.48601;0.994401
0;0.0546;0.995906;0.00485143;2.4857;0.994274
0;0.0547;0.995814;0.00496144;2.48537;0.994144
0;0.0548;0.99572;0.00507315;2.48504;0.994013
0;0.0549;0.995624;0.00518656;2.48471;0.993879
0;0.055;0.995527;0.00530168;2.48437;0.993744
0;0.0551;0.995429;0.00541851;2.48403;0.993606
0;0.0552;0.995329;0.00553707;2.48368;0.993467
0;0.0553;0.995228;0.00565735;2.48333;0.993325
